target	EEBR-OA.Prd	EEBR-OB.Prd	EEMAC-CN.Prd	EEMAC-CPL.Prd	EEMAC-N.Prd	GL-CN.Prd	GL-F.Prd	GL-NP.Prd	L-CN.Prd	L-RA.Prd	M-CN.Prd	M-RA.Prd	P-CN.Prd	P-RA.Prd	PP-CN.Prd	PP-PP.Prd	SA-CN.Prd	SA-RA.Prd	SUL-CN.Prd	SUL-F.Prd	SUL-LM.Prd	T-CN.Prd	T-NP.Prd	TT-CN.Prd	TT-LP.Prd	NA
k117_512592_20_L-RA	0	0	0.12717094309793842	0.18826770497676873	0.027894960285829558	0.13109409282397594	0.04756701552175528	0.0635571979799461	0.12342984881164412	0.4405047271275648	0.18297785403899502	0.21832202328317749	0.1111140191554736	0.3811160145287927	0.003974436784372053	0	0.04761631525202952	0.07560991503814368	0	0	0	0.007970087246219414	0.059449443221628616	0	0	0
k117_533761_4_L-RA	0.03218579399440326	0	0.6759930444049788	1.5357837891083643	1.6246821869332442	0.160888204829425	0.042810313969579745	0.19305498886408629	0.591268791888037	1.2000777430934737	1.08474045209639	0.49301082348673897	0.7607341954322959	0.22509664608106816	0	0	0.06428202559023984	0.06446740124304882	0	0.021443567046731976	0.01082306544136301	0.25823082677750897	0.26752249449732873	0	0.021607064850931487	0
k117_570320_1_L-RA	0	0	0.049231986427253356	0.06616467028470169	0.0329113649086594	0.010936191700823661	0	0.005467788355627716	0.054805663419211996	0.4315405609793409	0.07665414959485264	0.08742220910932798	0.1092465566486589	0.25683296126149885	0	0	0	0.0109552446556815	0	0	0	0.005485295340045125	0	0	0	0
k117_599966_1_L-RA	0.008940498331778684	0.004474858290645877	0.008941706936573793	0.08111534097403332	0.30485206598085157	0.013407350402452084	0.022297038525822783	0.0223443274148248	0.008958618058909653	0.2455516215407033	0.08950003730168234	0.01786271099589634	0.12053886899455392	0.08485786260992648	0.008942482764837119	0.03127405721556299	0.017856118219511066	0.008953805728201225	0.004477837528780802	0.004467409801402495	0	0	0.0044587082416221455	0	0.027008831063664362	0
k117_93611_1_M-CN	0	0.0062328383333996144	0.26154492789478345	0.23224094647922636	0.19981900123114638	0.03734904754968795	0.006211317875050632	0.01867347362524644	0.1372588266882943	0.16168139236511245	0.3116519156040724	0.15550127875891903	0.07461929985377148	0.08087018109630212	0.031139002484700678	0.024891596559325647	0.031088777257184445	0	0	0	0	0.04995536827541096	0.018631030866778253	0.0065889904435964585	0.006269907211207798	0
k117_106232_2_M-CN	1.176664523807191	1.585604654490805	1.2920370872599727	0.7299583093356471	0.3300844858095634	1.5177595252050184	0.9234525690340765	1.2585590719458135	1.6984905601246056	0.43966185752291986	1.5238767413136005	0.7973408341885057	1.3312611372141887	0.4685956306955233	0.9053274586702358	0.9662932469637924	1.3558008347203978	0.7334196975241641	1.3270249837505443	0.9086632466852651	0.9629016333672816	1.4936507753379513	1.6496431342100768	1.5325330929106007	1.8063251264761018	0
k117_204432_1_M-CN	0	0	0.13077246394739173	0.08787495272186943	0.04371040651931327	0.08714777761593855	0.08695845025070886	0.04357143845890836	0	0.08705921127352208	0	0	0.04352792491470003	0	0	0	0.1305728644801747	0	0	0.043557245563674324	0.04396870335553723	0.13113284172295378	0.08694481071163183	0.046122933105175214	0.04388935047845459	0
k117_227397_2_M-CN	0.43169834802017076	0.3324180444479795	0.5646049237093738	0.5021425869821111	0.1998190012311464	0.9295762945700112	1.2588270893435949	0.9295240204567118	0.6654973415190029	0.5306466210957537	0.9972861299330319	0.9952081840570819	0.7959391984402292	0.49766265290032075	0.5314389757388917	0.663775908248684	1.0280022346375657	0.9977097811424223	0.39916723113703156	0.5309835649666965	0.5694993958431489	0.3996429462032877	0.4637056571287032	0.3865541060243256	0.6687901025288319	0
k117_239599_1_M-CN	0.4192709769823083	0.4796608837678821	0.23961580306106953	0.1336993145706971	0.09010243307048627	0.1411473208012747	0.1707159759523119	0.0812620692730561	0.2572167638999827	0.0769112050514551	0.34690873354112217	0.2735296113236642	0.2136339873114112	0.08548806307490173	0.3466172153879811	0.43186156484523275	0.3460581438983771	0.23565537775449852	0.5356922197007709	0.6413336770111557	0.6560238439304698	0.24885741742106568	0.26456825836177544	0.6474188401511711	0.5385196377724489	0
k117_251490_1_M-CN	0.017433971746968435	0	0.0871816426315945	0.05272497163312166	0	0.05228866656956313	0	0.03485715076712669	0.15722374693386443	0.017411842254704418	0.2443351018335928	0.08708071610499467	0.10446701979528007	0	0.017437841391432382	0	0	0	0	0	0	0.03496875779278767	0	0	0	0
